Date,Time,Symbol,Quantity,Price,Side
01/02/2025,09:01:06,GOOG,250,190.98,Sell
01/02/2025,09:01:09,MSFT,250,424.40,Buy
01/02/2025,09:02:11,MSFT,250,424.40,Buy
01/02/2025,09:03:08,MSFT,250,424.25,Buy
01/02/2025,09:04:10,AAPL,250,251.15,Buy
01/02/2025,09:05:05,MSFT,250,424.25,Buy
01/02/2025,09:05:06,AAPL,250,251.14,Buy
01/02/2025,09:05:57,AMZN,250,221.10,Buy
01/02/2025,09:06:07,META,250,591.83,Sell
01/02/2025,09:06:11,AAPL,250,251.45,Buy
01/02/2025,09:07:00,MSFT,250,424.56,Buy
01/02/2025,09:07:11,AAPL,250,251.55,Buy
01/02/2025,09:07:11,META,250,592.70,Buy
01/02/2025,09:07:11,AMZN,250,221.23,Buy
01/02/2025,09:08:09,AAPL,250,251.67,Buy
01/02/2025,09:08:09,AMZN,250,221.37,Buy
01/02/2025,09:08:11,GOOG,250,191.69,Buy
01/02/2025,09:08:11,MSFT,250,424.75,Buy
01/02/2025,09:11:03,MSFT,250,424.74,Buy
01/02/2025,09:12:06,META,250,593.55,Buy
01/02/2025,09:12:55,AAPL,250,251.53,Buy
01/02/2025,09:12:55,MSFT,250,424.74,Buy
01/02/2025,09:13:01,AMZN,250,221.34,Buy
01/02/2025,09:13:48,AAPL,250,251.53,Buy
01/02/2025,09:14:01,META,250,593.55,Buy
01/02/2025,09:14:07,MSFT,250,424.75,Buy
01/02/2025,09:14:11,AMZN,250,221.55,Buy
01/02/2025,09:16:04,GOOG,250,192.17,Buy
01/02/2025,09:16:06,AAPL,250,251.46,Buy
01/02/2025,09:16:07,MSFT,250,424.85,Buy
01/02/2025,09:16:07,MSFT,250,424.60,Sell
01/02/2025,09:16:07,MSFT,250,424.60,Sell
01/02/2025,09:17:42,MSFT,250,424.60,Sell
01/02/2025,09:18:07,META,250,593.70,Buy
01/02/2025,09:18:10,AAPL,250,251.78,Buy
01/02/2025,09:19:09,MSFT,250,424.90,Buy
01/02/2025,09:19:10,AMZN,250,221.65,Buy
01/02/2025,09:19:10,AAPL,250,251.46,Sell
01/02/2025,09:19:58,AMZN,250,221.50,Buy
01/02/2025,09:20:04,MSFT,250,424.49,Sell
01/02/2025,09:20:06,AAPL,250,251.78,Buy
01/02/2025,09:20:06,AAPL,250,251.66,Sell
01/02/2025,09:20:25,META,250,594.00,Buy
01/02/2025,09:20:25,META,250,593.41,Sell
01/02/2025,09:21:07,AMZN,250,221.58,Buy
01/02/2025,09:21:07,AMZN,250,221.34,Sell
01/02/2025,09:21:11,AAPL,250,251.78,Buy
01/02/2025,09:21:11,AAPL,250,251.55,Sell
01/02/2025,09:21:53,AAPL,250,251.54,Sell
01/02/2025,09:22:01,MSFT,250,424.34,Sell
01/02/2025,09:22:07,AMZN,250,221.34,Sell
01/02/2025,09:22:56,AAPL,250,251.54,Sell
