Date,Time,Symbol,Quantity,Price,Side
01/02/2025,14:40:10,META,250,589.00,Sell
01/02/2025,14:41:11,META,250,590.00,Sell
01/02/2025,14:42:11,META,250,589.05,Sell
01/02/2025,14:55:11,META,250,595.77,Buy
01/02/2025,14:56:09,META,250,596.23,Buy
01/02/2025,14:57:11,META,250,597.20,Buy
01/07/2025,14:45:11,MSFT,250,429.62,Sell
01/07/2025,14:46:11,MSFT,250,429.78,Sell
01/07/2025,14:47:11,MSFT,250,429.28,Sell
01/07/2025,15:00:11,MSFT,250,429.46,Buy
01/07/2025,15:01:11,MSFT,250,429.10,Buy
01/07/2025,15:02:11,MSFT,250,428.76,Buy
01/08/2025,14:45:11,META,250,615.50,Sell
01/08/2025,14:46:11,META,250,615.61,Sell
01/08/2025,15:00:11,META,250,613.46,Buy
01/08/2025,15:01:11,META,250,614.55,Buy
01/13/2025,14:45:11,META,250,603.87,Sell
01/13/2025,14:47:11,META,250,601.62,Sell
01/13/2025,14:48:10,META,250,600.79,Sell
01/13/2025,15:00:11,META,250,603.21,Buy
01/13/2025,15:02:11,META,250,602.38,Buy
01/13/2025,15:03:10,META,250,603.66,Buy
01/14/2025,15:15:08,META,250,602.90,Sell
01/14/2025,15:17:10,META,250,602.99,Sell
01/14/2025,15:30:11,META,250,597.84,Buy
01/14/2025,15:32:11,META,250,597.02,Buy
01/15/2025,14:43:10,MSFT,250,422.85,Sell
01/15/2025,14:49:11,MSFT,250,424.92,Sell
01/15/2025,14:52:11,MSFT,250,424.67,Sell
01/15/2025,14:58:11,MSFT,250,423.47,Buy
01/15/2025,15:04:11,MSFT,250,424.33,Buy
01/15/2025,15:07:11,MSFT,250,424.41,Buy
01/22/2025,18:39:11,AMZN,250,232.80,Buy
01/22/2025,18:54:11,AMZN,250,232.94,Sell
01/24/2025,14:40:11,AMZN,250,235.49,Buy
01/24/2025,14:44:11,AMZN,250,235.53,Buy
01/24/2025,14:45:11,AMZN,250,235.83,Buy
01/24/2025,14:55:11,AMZN,250,236.20,Sell
01/24/2025,14:59:11,AMZN,250,236.24,Sell
01/24/2025,15:00:11,AMZN,250,236.21,Sell
01/27/2025,14:34:11,AAPL,250,226.88,Sell
01/27/2025,14:40:11,MSFT,250,428.34,Sell
01/27/2025,14:41:11,MSFT,250,428.44,Sell
01/27/2025,14:49:11,AAPL,250,227.46,Buy
01/27/2025,14:55:11,MSFT,250,428.24,Buy
01/27/2025,14:56:11,MSFT,250,428.50,Buy
01/28/2025,14:41:11,AAPL,250,234.66,Sell
01/28/2025,14:42:11,AAPL,250,234.93,Sell
01/28/2025,14:43:11,AAPL,250,235.09,Sell
01/28/2025,14:56:11,AAPL,250,234.88,Buy
01/28/2025,14:57:11,AAPL,250,235.10,Buy
01/28/2025,14:58:11,AAPL,250,234.94,Buy
01/28/2025,20:34:11,MSFT,250,446.96,Buy
01/28/2025,20:36:11,MSFT,250,447.03,Buy
01/28/2025,20:38:11,MSFT,250,446.94,Buy
01/28/2025,20:49:11,MSFT,250,446.15,Sell
01/28/2025,20:51:11,MSFT,250,446.20,Sell
01/28/2025,20:53:11,MSFT,250,446.07,Sell
01/29/2025,14:33:11,META,250,672.13,Sell
01/29/2025,14:34:10,META,250,671.66,Sell
01/29/2025,14:38:11,AAPL,250,235.31,Sell
01/29/2025,14:40:11,META,250,669.26,Sell
01/29/2025,14:48:11,META,250,667.81,Buy
01/29/2025,14:49:10,META,250,667.53,Buy
01/29/2025,14:53:11,AAPL,250,235.87,Buy
01/29/2025,14:55:11,META,250,669.86,Buy
01/30/2025,14:50:11,MSFT,250,422.50,Sell
01/30/2025,14:51:11,MSFT,250,421.69,Sell
01/30/2025,14:52:11,MSFT,250,421.87,Sell
01/30/2025,15:05:11,MSFT,250,416.87,Buy
01/30/2025,15:06:11,MSFT,250,416.88,Buy
01/30/2025,15:07:11,MSFT,250,416.72,Buy
02/03/2025,14:34:11,GOOG,250,202.63,Sell
02/03/2025,14:35:11,GOOG,250,202.81,Sell
02/03/2025,14:36:11,GOOG,250,203.04,Sell
02/03/2025,14:49:11,GOOG,250,202.21,Buy
02/03/2025,14:50:11,GOOG,250,202.71,Buy
02/03/2025,14:51:11,GOOG,250,203.09,Buy
02/03/2025,15:07:11,AMZN,250,234.06,Buy
02/03/2025,15:22:11,AMZN,250,234.17,Sell
02/06/2025,14:49:11,MSFT,250,417.79,Sell
02/06/2025,15:04:11,MSFT,250,416.52,Buy
02/06/2025,20:56:11,MSFT,250,415.70,Sell
02/06/2025,21:11:07,MSFT,250,415.30,Buy
02/07/2025,14:37:11,AAPL,250,233.64,Sell
02/07/2025,14:38:11,AAPL,250,233.55,Sell
02/07/2025,14:39:11,AAPL,250,233.83,Sell
02/07/2025,14:52:11,AAPL,250,233.35,Buy
02/07/2025,14:53:11,AAPL,250,233.35,Buy
02/07/2025,14:54:11,AAPL,250,233.09,Buy
02/07/2025,15:07:11,AMZN,250,230.04,Buy
02/07/2025,15:08:11,AMZN,250,230.02,Buy
02/07/2025,15:09:11,AMZN,250,230.00,Buy
02/07/2025,15:22:11,AMZN,250,229.73,Sell
02/07/2025,15:23:11,AMZN,250,229.80,Sell
02/07/2025,15:24:11,AMZN,250,230.42,Sell
02/10/2025,14:44:11,META,250,717.43,Sell
02/10/2025,14:59:10,META,250,715.43,Buy
02/11/2025,17:14:11,META,250,712.22,Sell
02/11/2025,17:29:11,META,250,716.58,Buy
